wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
3,1,0,5,10,1,3,2,1,0.75,52,0.5,0,0,0.5,0,0,15.66666667,1,0.3333,0
6,3,0,10,23,9,0,10,6,0.7,134,0.5,0,0.886363636,0.333333333,2,6,21,12,3,0
6,3,0,12,24,9,0,12,6,0.7,107,0.5,0,0.886363636,0.333333333,2,6,16.5,7,2.1667,0
3,5,0,5,10,3,0,5,3,1.5,42,1,0,0.961538462,1,3,8,12.66666667,4,1.6667,0
2,1,0,1,4,1,0,1,1,2,8,0,0,0,0.5,0,0,3,1,0.5,0
2,1,0,11,18,1,0,11,2,2,56,0,0,0,0.666666667,0,0,27,2,1,0
3,2,0,3,7,3,0,3,1,2,23,0,0,0.666666667,0.666666667,1,2,6.666666667,1,0.6667,0
3,3,0,8,17,3,0,8,1,1.5,65,1,0,0.866666667,0.5,1,1,20.33333333,4,2,0
2,2,0,16,20,1,0,16,2,2,88,1,0,0.5,0.75,0,0,42.5,5,2.5,0
3,1,0,9,19,3,0,9,3,2,60,0,0,0,0.777777778,0,0,19,1,0.6667,0
3,5,0,6,12,3,0,6,3,1.5,50,1,0,0.961538462,1,3,8,15.33333333,5,2,0
2,1,0,10,16,1,0,10,2,2,65,1,0,0,0.666666667,0,0,31,3,1.5,0
2,1,0,9,16,1,0,9,2,1,61,0,0,0,0.666666667,0,0,29,3,1.5,0
0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
2,1,0,10,19,1,0,10,2,2,45,0,0,0,0.666666667,0,0,21.5,1,0.5,0
0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
2,5,0,3,10,1,1,2,1,2,46,0,0,0.989795918,1,1,1,22,1,0.5,0
5,1,2,20,28,10,2,18,3,2,111,0,0,0,0.56,0,0,21.2,1,0.8,0
21,1,0,9,47,208,0,9,20,0.975,146,0,0,0,0.19375,0,0,5.857142857,1,0.9048,0
8,5,0,32,74,22,1,31,2,1.142857143,463,0.25,0,0.588235294,0.236111111,1,1,56.375,5,2.625,0
6,3,0,15,40,9,0,15,6,0.866666667,161,0.333333333,0,0.886363636,0.333333333,2,6,25.33333333,8,2.3333,0
2,1,0,5,11,1,0,5,2,2,44,0,0,0,0.666666667,0,0,21,3,1.5,0
0,1,0,0,0,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0
6,3,0,6,17,9,0,6,6,0.866666667,89,0.333333333,0,0.886363636,0.333333333,2,6,13.33333333,5,1.8333,0
3,5,0,4,5,3,0,4,1,2,12,0,0,0.980952381,0.666666667,1,2,3,1,0.6667,0
3,4,0,2,5,3,0,2,1,1.5,12,0,0,0.888888889,0.666666667,1,1,2.666666667,1,0.6667,0
3,1,0,13,21,1,0,13,2,0.5,72,1,0,0,0.666666667,0,0,22.33333333,2,0.6667,0
0,1,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0
4,1,0,21,45,4,0,21,3,0.888888889,286,0.333333333,0,0,0.777777778,0,0,69,7,2,0
10,1,0,8,13,45,0,8,10,2,39,0,0,0,0.35,0,0,2.9,1,0.9,0
3,1,0,27,37,1,0,27,2,0.666666667,160,0.666666667,0,0,0.666666667,0,0,51.33333333,4,1.3333,0
7,1,0,6,8,0,0,6,7,0.666666667,40,1,0,0,0.452380952,0,0,4.285714286,1,0.8571,0
3,1,0,11,20,3,0,11,3,2,60,0,0,0,0.777777778,0,0,19,1,0.6667,0
2,1,0,3,6,1,0,3,1,2,28,0,0,0,0.5,0,0,13,3,1.5,0
9,3,0,13,40,24,0,13,8,0.84375,252,0.5,0,0.829787234,0.311111111,2,6,26.55555556,11,2.4444,0
3,1,0,3,9,3,0,3,2,1,31,0,0,0,0.333333333,0,0,9,2,1,0
6,3,0,7,18,9,0,7,6,0.7,91,0.5,0,0.886363636,0.333333333,2,6,13.83333333,6,2,0
0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,2,0,1,3,1,0,1,1,2,7,0,0,0.75,1,1,1,2.5,1,0.5,0
3,4,0,1,4,3,0,1,1,2,10,0,0,0.8,1,1,1,2.333333333,1,0.6667,0
3,5,0,7,11,3,0,7,3,1.5,47,1,0,0.961538462,1,3,8,14.33333333,5,2,0
3,1,0,16,33,3,0,16,3,1,146,0,0,0,0.777777778,0,0,47.33333333,3,1.3333,0
2,1,0,16,29,1,0,16,2,1.5,112,0,0,0,0.666666667,0,0,54,9,4.5,0
3,3,0,9,15,3,0,9,1,1.5,50,1,0,0.866666667,0.5,1,1,15.33333333,2,1.3333,0
