wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
9,5,0,27,45,32,5,23,2,2,178,0,0,0.931034483,0.333333333,2,7,18.77777778,5,1.3333,1
3,4,0,1,4,3,0,1,1,2,10,0,0,0.8,1,1,1,2.333333333,1,0.6667,0
12,2,0,76,24,54,71,5,12,0.818181818,108,1,0,0.5,0.226190476,1,1,7.833333333,1,0.9167,0
2,1,0,3,2,1,3,0,2,2,2,0,0,0,1,0,0,0,1,1,0
2,1,0,12,2,1,12,0,2,2,2,0,0,0,1,0,0,0,1,1,0
9,3,0,18,49,34,2,17,4,1.053571429,322,0.285714286,0,0.805555556,0.357142857,1,3,34,4,2.2222,0
3,1,0,6,11,3,0,6,3,2,27,0,0,0,0.777777778,0,0,8,1,0.6667,0
4,1,0,8,4,6,4,4,4,2,4,0,0,0,0.5,0,0,0,1,1,0
2,2,0,6,9,1,0,6,2,2,18,0,0,0.666666667,0.75,1,1,8,1,0.5,1
2,5,0,12,24,1,0,12,1,2,77,0,0,0.9921875,0.75,1,6,37.5,6,3,0
4,5,0,5,27,4,0,5,3,0.666666667,132,1,0,0.961538462,0.555555556,2,6,31.75,12,3.25,0
4,5,2,7,20,4,2,5,3,0.666666667,83,1,0,0.961538462,0.555555556,2,6,19.5,8,2.25,0
3,3,0,6,16,1,0,6,1,1,55,1,0,0.928571429,0.75,1,1,16.66666667,6,2,0
2,4,0,4,11,1,0,4,2,2,37,0,0,0.978723404,0.75,1,1,17.5,3,1.5,0
2,6,0,3,10,1,1,2,1,2,28,0,0,0.99047619,1,1,1,13,1,0.5,0
2,3,0,17,40,1,0,17,2,2,150,0,0,0.8,0.75,1,1,74,6,3,1
25,2,0,26,35,208,23,3,25,0.904166667,301,1,0,0.314285714,0.24,1,1,10.64,4,1.2,1
2,3,0,16,23,1,0,16,2,2,64,0,0,0.988372093,1,1,1,31,4,2,1
2,2,0,2,3,1,1,1,1,2,7,0,0,0.923076923,1,1,2,2.5,1,0.5,0
3,2,0,9,30,1,1,8,2,0.5,177,1,2,0.5,0.444444444,1,1,57,8,3.6667,1
4,3,0,13,20,2,1,12,3,0.666666667,87,1,0,0.846153846,0.555555556,0,0,20,3,1,1
24,3,0,50,127,256,21,44,6,0.966555184,938,0.692307692,1,0.629032258,0.148148148,1,2,37.54166667,8,1.5833,0
2,6,0,4,6,0,1,3,2,1,26,1,1,0.998422713,0.583333333,0,0,11,1,0.5,0
15,1,0,9,15,105,4,5,15,2,15,0,0,0,0.437037037,0,0,0,1,1,0
0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0
2,2,0,5,5,1,0,5,1,2,24,0,0,0.666666667,0.75,1,1,11,4,2,0
4,1,0,12,27,6,0,12,4,2,115,0,0,0,0.5625,0,0,27.75,2,1,0
2,3,0,2,6,1,0,2,1,2,19,1,0,0.928571429,0.75,1,1,8,1,0.5,0
2,1,0,6,10,1,0,6,2,2,27,0,0,0,0.666666667,0,0,12.5,1,0.5,0
1,1,0,7,1,0,5,2,1,2,1,0,0,0,1,0,0,0,1,1,0
3,3,0,14,23,1,0,14,1,1.25,83,1,0,0.928571429,0.75,1,1,25.33333333,8,2.6667,0
0,1,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0,1
4,3,0,10,15,0,0,10,4,0.444444444,65,1,0,0.785714286,0.4375,0,0,14.5,1,0.75,1
3,4,0,6,7,3,0,6,2,2,17,0,0,0.970149254,1,1,1,4.666666667,1,0.6667,0
7,1,0,22,8,15,20,2,7,0.833333333,34,1,0,0,0.357142857,0,0,3.428571429,1,0.8571,0
2,3,0,7,17,1,0,7,1,2,96,1,0,0.928571429,0.75,1,1,46.5,9,4.5,0
5,1,0,36,26,10,10,26,4,1.25,136,1,0,0,0.233333333,0,0,26,9,3.4,0
1,1,0,17,1,0,15,2,1,2,6,0,0,0,1,0,0,0,1,1,1
2,3,0,7,14,1,0,7,1,2,38,1,0,0.928571429,0.75,1,1,17.5,2,1,0
0,1,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0
9,3,0,15,38,8,0,15,6,0.775,226,1,0,0.847826087,0.325,2,6,23.55555556,13,2.7778,1
4,5,0,8,7,6,7,1,4,1.333333333,22,1,0,0.96,0.625,0,0,4.25,1,0.25,0
2,3,0,14,22,0,1,13,2,0,68,1,0,0.916666667,0.75,0,0,32.5,1,0.5,1
14,4,0,28,66,85,1,28,3,0.923076923,268,0.5,0,0.883495146,0.213675214,3,3,18,5,1.5714,0
6,1,0,31,43,3,14,17,4,0.4,335,1,0,0,0.44,0,0,54.66666667,4,2.1667,1
2,3,0,4,5,1,0,4,1,2,24,1,0,0.928571429,0.75,1,1,10.5,4,2,0
6,5,0,15,29,13,4,14,2,0.95,145,0.75,0,0.950980392,0.5,3,5,22.5,4,1.3333,0
