wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
2,3,0,12,22,1,0,12,2,2,227,0,0,0.857142857,0.583333333,2,2,112.5,22,11,0
4,4,0,17,25,4,1,16,3,1,101,0,0,0.977272727,0.555555556,2,9,23.75,1,0.5,0
3,3,0,9,21,1,0,9,2,0.5,68,1,0,0.875,0.666666667,1,1,21.33333333,4,1.3333,0
2,3,0,6,5,1,0,6,2,2,19,0,0,0.875,0.625,1,1,8.5,1,0.5,0
3,3,0,14,24,3,0,14,2,2,121,0,0,0.777777778,0.666666667,1,1,39.33333333,6,3,0
8,2,0,38,80,8,0,38,2,0.734693878,955,0.857142857,0,0.7,0.428571429,2,2,117.5,13,4.625,0
2,3,0,20,21,1,0,20,2,2,91,0,0,0.875,0.625,1,1,44.5,3,1.5,1
6,2,0,23,43,15,0,23,1,1.2,287,1,0,0.814814815,0.270833333,1,1,46.66666667,6,4.5,1
4,4,0,6,10,6,0,6,1,1.333333333,30,1,0,0.903225806,0.4375,2,2,6.25,1,0.75,0
2,3,0,18,26,1,0,18,2,2,147,0,0,0.857142857,0.666666667,1,1,72.5,15,7.5,0
9,2,0,13,48,14,0,13,6,0.833333333,337,0,0,0.5625,0.53125,2,2,36.11111111,6,2.2222,1
2,1,0,5,2,1,3,2,2,2,2,0,0,0,0.666666667,0,0,0,1,1,0
4,4,0,23,47,4,1,22,3,1,190,0,0,0.962962963,0.555555556,3,5,46,1,0.5,0
4,2,0,7,28,4,1,6,2,0.888888889,225,1,0,0.882352941,0.555555556,1,5,54.5,19,5,0
2,3,0,1,4,1,0,1,1,2,14,0,0,0.941176471,0.75,2,3,6,1,0.5,0
20,1,0,97,75,58,50,47,17,0.263157895,571,1,0,0,0.1875,0,0,27.5,6,2.5,1
7,5,0,18,29,15,6,12,5,0.916666667,132,0,0,0.915254237,0.444444444,4,11,17.57142857,1,0.7143,0
2,3,0,26,30,1,0,26,2,2,147,0,0,0.857142857,0.625,1,1,72.5,13,6.5,0
2,3,0,7,8,1,0,7,2,2,20,0,0,0.857142857,0.666666667,1,1,9,1,0.5,0
2,3,0,15,16,1,0,15,2,2,64,0,0,0.875,0.6,1,1,31,5,2.5,0
0,1,0,10,0,0,10,0,0,2,9,0,0,0,0,0,0,0,0,0,1
2,3,0,5,8,1,0,5,2,2,28,0,0,0.875,0.666666667,1,1,13,2,1,0
2,3,0,25,38,1,0,25,2,2,289,0,0,0.875,0.625,2,3,143.5,24,12,1
4,5,0,2,6,6,0,2,2,1.166666667,17,0,0,0.967741935,1,4,6,2.75,1,0.5,0
2,3,0,9,9,1,0,9,2,2,28,0,0,0.857142857,0.583333333,1,1,13,3,1.5,0
2,3,0,18,25,1,0,18,2,2,107,0,0,0.875,0.625,2,2,52.5,7,3.5,0
17,1,0,64,78,136,22,42,16,1.0625,503,0,0,0,0.099264706,0,0,28.52941176,18,3.4118,1
2,2,0,24,23,1,0,24,2,2,134,0,0,0.8,0.666666667,1,1,66,1,0.5,0
6,6,0,17,19,3,0,17,1,0.8,70,0,0,0.84,0.733333333,2,3,10.33333333,1,0.6667,0
2,4,0,24,31,1,0,24,2,2,216,0,0,0.9375,0.625,2,2,107,1,0.5,0
4,4,0,15,22,4,2,13,3,1,107,0,0,0.977272727,0.555555556,2,9,25.25,1,0.5,0
8,4,0,18,43,22,2,16,5,0.928571429,393,0,0,0.934782609,0.5,2,8,47.875,1,0.75,0
2,2,0,13,19,1,0,13,2,2,75,0,0,0.8,0.666666667,1,1,36.5,1,0.5,0
2,3,0,9,9,0,1,8,1,0,38,1,0,0.979591837,0.5625,2,5,17.5,1,0.5,1
7,4,0,21,32,9,3,18,5,0.833333333,340,0,0,0.945054945,0.541666667,2,5,47.28571429,1,0.7143,0
4,5,0,2,6,6,0,2,2,1.166666667,17,0,0,0.967741935,1,4,6,2.75,1,0.5,0
2,3,0,14,22,1,0,14,2,2,167,0,0,0.875,0.6,2,2,82.5,17,8.5,0
2,3,0,9,9,1,0,9,2,2,25,0,0,0.857142857,0.666666667,1,1,11.5,1,0.5,0
2,3,0,6,10,1,0,6,2,2,38,0,0,0.875,0.625,1,1,18,3,1.5,0
4,2,0,31,67,4,0,31,2,1.142857143,636,1,0,0.875,0.5,1,1,156.25,9,2.5,0
