wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
2,4,0,41,38,1,1,40,2,2,511,0,0,0.944444444,0.625,1,2,254.5,1,0.5,1
2,3,0,13,17,1,1,12,2,2,66,0,0,0.857142857,0.625,1,1,32,1,0.5,0
4,2,0,5,11,6,1,4,3,1.333333333,39,1,0,0.884615385,0.583333333,2,3,8.5,2,1,0
4,6,0,10,13,4,1,9,1,1,43,0,0,0.916666667,0.555555556,2,2,9,1,0.5,0
2,3,0,16,27,1,2,14,2,2,138,0,0,0.857142857,0.625,1,1,68,1,0.5,0
2,3,0,17,22,1,4,13,2,2,156,0,0,0.857142857,0.583333333,2,2,77,1,0.5,0
3,1,0,4,10,3,0,4,3,2,29,0,0,0,0.583333333,0,0,8.666666667,2,1,1
4,2,0,27,59,4,0,27,2,0.814814815,417,0.222222222,0,0.894736842,0.555555556,0,0,101,10,2.75,0
2,1,0,16,18,1,0,16,0,1,81,1,0,0,1,0,0,32,0,0,0
10,3,2,18,49,13,4,14,7,0.833333333,390,0.25,0,0.84,0.407407407,2,3,37.6,7,2.1,0
3,3,0,21,30,3,1,20,2,0.5,160,0,0,0.75,0.5,1,1,52,2,1,0
2,3,0,9,10,1,1,8,2,2,45,0,0,0.857142857,0.625,1,1,21.5,7,3.5,0
5,7,0,12,17,4,0,12,1,0.916666667,68,0,0,0.884615385,0.666666667,2,4,12,1,0.6,0
5,7,0,23,24,4,1,22,1,0.916666667,100,0,0,0.884615385,0.666666667,2,3,18.4,1,0.6,0
2,3,0,18,18,1,3,15,2,2,75,0,0,0.857142857,0.625,1,1,36.5,6,3,0
2,2,0,9,13,1,1,8,2,2,49,0,0,0.8,0.666666667,1,1,23.5,1,0.5,0
4,7,0,10,13,4,1,9,1,1,43,0,0,0.92,0.555555556,2,2,9,1,0.5,0
5,6,0,15,17,4,2,13,1,0.916666667,58,0,0,0.88,0.666666667,2,3,10,1,0.6,0
4,4,0,7,7,6,1,6,1,2,18,0,0,0.90625,0.4375,1,1,3.5,1,0.75,0
2,3,0,12,20,1,1,11,2,2,71,0,0,0.857142857,0.625,2,2,34.5,7,3.5,0
2,3,0,18,7,1,10,8,2,2,21,0,0,0.857142857,0.625,1,1,9.5,1,0.5,0
4,4,0,11,24,4,1,10,3,1,130,0,0,0.96875,0.555555556,3,8,30.75,1,0.5,0
2,5,8,12,4,1,8,4,2,2,8,0,0,0.954545455,0.666666667,1,1,3,1,0.5,0
4,4,0,19,37,4,2,17,3,1,187,0,0,0.97826087,0.555555556,3,10,45,1,0.5,0
2,3,0,14,20,1,1,13,2,2,134,0,0,0.857142857,0.625,1,1,66,1,0.5,0
3,3,0,20,35,3,4,16,2,0.5,159,0,0,0.75,0.444444444,1,1,51.66666667,9,4.6667,0
2,3,0,16,13,1,4,12,2,2,64,0,0,0.857142857,0.583333333,1,1,31,1,0.5,0
5,6,0,23,24,4,1,22,1,0.916666667,99,0,0,0.88,0.666666667,2,3,18.2,1,0.6,0
