wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
2,3,0,16,16,1,0,16,2,2,127,0,0,0.9,0.625,1,1,62.5,1,0.5,no-bug
2,4,0,23,19,1,0,23,2,1,72,0,0,0.933333333,0.6,1,1,34.5,1,0.5,no-bug
4,6,0,8,13,4,0,8,1,1,42,0,0,0.913043478,0.555555556,2,2,8.75,1,0.5,no-bug
4,5,2,23,53,4,2,21,2,0.833333333,289,0,0,0.960784314,0.555555556,1,2,70.75,1,0.5,no-bug
2,2,0,11,10,1,0,11,2,2,39,0,0,0.8,0.666666667,1,1,18.5,1,0.5,no-bug
4,3,0,23,45,4,0,23,2,0.909090909,483,0.363636364,0,0.904761905,0.555555556,0,0,117,10,3.25,no-bug
2,3,0,24,26,1,0,24,2,1,97,0,0,0.857142857,0.625,1,1,47,1,0.5,no-bug
4,4,0,28,37,6,0,28,2,1,165,0,0,0.823529412,0.34375,1,1,39.75,1,0.75,bug
2,4,0,11,8,1,0,11,2,1,30,0,0,0.933333333,0.6,1,1,13.5,1,0.5,no-bug
2,7,0,5,5,1,0,5,1,2,13,0,0,0.965517241,0.75,1,1,5,1,0.5,no-bug
2,3,0,20,16,1,0,20,2,1,56,0,0,0.857142857,0.625,1,1,26.5,4,2,no-bug
2,3,0,13,14,1,0,13,2,2,46,0,0,0.857142857,0.625,1,1,22,1,0.5,no-bug
2,4,0,28,28,1,0,28,2,1,184,0,0,0.933333333,0.6,1,1,90.5,1,0.5,no-bug
2,3,0,13,18,1,0,13,2,2,68,0,0,0.857142857,0.625,1,1,33,1,0.5,bug
5,6,0,8,14,8,0,8,1,1,45,0,0,0.875,0.5,3,3,7.4,1,0.6,no-bug
5,6,0,8,14,8,0,8,1,1,45,0,0,0.875,0.5,3,3,7.4,1,0.6,no-bug
5,6,0,14,17,8,0,14,1,1,52,0,0,0.88,0.5,3,3,8.8,1,0.6,no-bug
