@relation 'ivy-2.0-weka.filters.unsupervised.attribute.Remove-R7-10,12-20'

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute loc numeric
@attribute bug {no-bug,bug}

@data
28,1,0,32,82,374,926,bug
6,1,2,3,7,3,36,no-bug
4,2,0,5,6,4,21,no-bug
4,1,0,9,4,6,4,no-bug
1,1,0,8,1,0,1,no-bug
23,2,0,150,67,235,653,bug
5,1,0,8,26,0,127,no-bug
25,4,0,18,73,200,666,bug
7,1,0,2,13,0,86,no-bug
21,1,0,7,22,154,141,no-bug
2,2,0,2,4,1,11,no-bug
8,1,0,10,21,28,130,no-bug
32,4,0,16,81,406,504,no-bug
13,1,2,4,44,70,208,no-bug
19,1,0,8,42,99,329,bug
2,1,0,6,21,1,144,no-bug
1,1,0,4,1,0,1,no-bug
25,1,0,10,58,234,257,no-bug
8,1,0,12,29,0,126,no-bug
5,1,1,26,11,0,41,no-bug
3,1,2,7,8,3,34,no-bug
4,3,0,6,10,4,27,no-bug
5,1,1,6,6,0,32,no-bug
2,1,0,4,3,1,8,no-bug
1,1,0,4,1,0,1,no-bug
10,1,0,27,19,15,138,no-bug
12,5,0,3,25,66,67,no-bug
5,1,0,14,21,0,75,no-bug
54,2,0,17,137,1241,1589,no-bug
5,3,0,4,9,2,61,no-bug
37,6,0,26,120,570,1123,bug
10,1,3,9,15,29,67,no-bug
8,2,0,6,32,20,221,no-bug
2,2,2,4,5,0,19,no-bug
20,1,0,8,29,108,188,no-bug
3,1,2,3,4,1,16,no-bug
3,1,0,9,23,0,125,no-bug
8,1,0,32,104,8,955,bug
8,2,0,16,52,16,336,no-bug
7,3,0,5,20,9,110,no-bug
3,5,2,16,38,3,159,no-bug
5,6,0,6,24,2,88,no-bug
9,3,0,20,71,36,476,no-bug
16,1,0,27,123,120,1851,no-bug
4,1,0,5,22,6,100,no-bug
23,5,1,10,74,189,608,no-bug
7,1,0,7,34,15,288,no-bug
10,4,0,10,38,3,207,no-bug
3,2,0,4,19,0,57,no-bug
1,1,0,5,1,0,1,no-bug
11,1,0,4,25,23,215,no-bug
4,1,0,2,6,6,23,no-bug
11,1,0,2,15,17,95,no-bug
18,1,0,23,83,151,638,no-bug
11,5,2,7,27,49,85,no-bug
4,2,0,4,13,0,41,no-bug
12,2,0,7,29,30,171,no-bug
5,5,0,6,15,10,48,no-bug
35,4,0,16,103,429,824,bug
11,1,0,6,19,1,67,no-bug
74,1,0,40,190,2181,1443,bug
9,2,0,19,39,34,178,bug
13,1,7,28,37,44,172,no-bug
5,1,1,3,13,4,48,no-bug
4,1,0,11,17,4,77,no-bug
9,1,0,83,9,36,9,no-bug
7,6,0,3,22,21,68,no-bug
15,2,0,9,40,77,286,no-bug
27,1,0,33,78,219,394,no-bug
31,1,0,97,31,465,33,no-bug
9,2,0,17,28,22,127,no-bug
37,4,0,19,107,526,659,no-bug
2,1,0,3,16,1,98,no-bug
15,4,0,13,64,57,411,bug
2,1,0,30,65,0,412,no-bug
8,1,5,6,22,6,145,no-bug
5,2,2,6,14,2,60,no-bug
7,1,0,10,63,21,1034,no-bug
14,1,1,2,19,79,97,no-bug
20,1,2,4,30,142,183,no-bug
5,1,0,13,30,4,149,no-bug
13,2,0,14,35,52,204,no-bug
12,1,0,7,63,64,939,no-bug
2,4,0,2,18,0,99,no-bug
5,1,0,7,26,4,158,no-bug
6,1,0,27,6,15,6,no-bug
4,1,0,4,5,6,17,no-bug
11,2,0,7,12,25,74,no-bug
12,1,0,19,12,66,12,no-bug
1,1,0,7,1,0,1,no-bug
6,1,0,21,6,15,6,no-bug
2,1,0,15,34,0,326,no-bug
5,2,0,10,44,0,305,bug
4,4,2,5,8,6,20,no-bug
5,1,0,6,17,10,112,no-bug
8,1,0,3,35,20,303,bug
8,1,0,2,13,14,69,no-bug
5,1,0,2,22,8,97,no-bug
5,1,0,3,6,6,24,no-bug
3,1,0,2,6,1,21,no-bug
4,1,0,12,5,0,24,no-bug
4,2,0,3,11,6,48,no-bug
3,6,0,3,7,3,17,no-bug
8,1,0,8,8,28,8,no-bug
6,1,0,1,7,3,34,no-bug
3,1,0,8,20,1,155,no-bug
