@relation Version245

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {no-bug,bug}

@data
3,3,0,16,18,1,0,16,2,0.833333,105,1,0,0.857143,0.6,1,1,33,11,3.6667,no-bug
3,3,2,17,16,3,2,15,2,2,115,0,0,0.75,0.466667,1,1,37.333333,3,1.3333,no-bug
2,4,0,15,16,1,0,15,2,2,103,0,0,0.888889,0.666667,2,2,50.5,1,0.5,no-bug
2,3,0,13,7,1,0,13,2,2,37,0,0,0.857143,0.6,1,1,17.5,1,0.5,no-bug
5,6,0,9,15,8,0,9,1,1,46,0,0,0.911765,0.5,3,5,7.6,1,0.6,no-bug
4,5,0,9,13,4,0,9,1,1,43,0,0,0.923077,0.555556,2,2,9,1,0.5,no-bug
2,4,0,8,5,1,0,8,2,2,20,0,0,0.9,0.666667,1,1,9,3,1.5,no-bug
7,5,0,25,32,15,0,25,3,0.944444,139,0,0,0.827586,0.611111,3,3,18.428571,1,0.7143,no-bug
7,5,0,26,33,15,0,26,3,0.944444,137,0,0,0.827586,0.611111,3,3,18.142857,1,0.7143,no-bug
6,6,0,17,28,13,0,17,1,1,108,0,0,0.875,0.6,3,5,16.5,1,0.6667,no-bug
3,2,0,16,27,1,0,16,2,0.833333,114,0.333333,0,0.8,0.75,1,1,36,4,1.3333,no-bug
6,5,0,12,19,9,0,12,2,0.933333,75,0,0,0.857143,0.6,3,3,11,1,0.6667,no-bug
8,5,0,24,30,16,0,24,3,0.904762,103,0,0,0.8,0.457143,3,4,11.5,1,0.75,no-bug
7,4,0,22,34,7,2,20,5,0.933333,171,0,0,0.807692,0.611111,3,4,22.714286,2,0.8571,no-bug
2,3,0,23,17,1,0,23,2,2,104,0,0,0.857143,0.6,1,1,51,6,3,no-bug
2,3,0,8,9,1,0,8,2,2,41,0,0,0.857143,0.625,1,1,19.5,4,2,no-bug
2,4,0,34,37,1,0,34,2,2,198,0,0,0.923077,0.625,1,1,98,1,0.5,no-bug
9,1,0,13,18,4,12,1,6,0.625,115,1,0,0,0.777778,0,0,11.444444,2,1.2222,no-bug
2,3,0,14,14,1,0,14,2,2,38,0,0,0.958333,0.666667,2,2,18,1,0.5,no-bug
2,1,0,11,19,1,4,7,1,2,53,0,0,0,0.5,0,0,25,1,0.5,no-bug
2,3,0,34,36,1,0,34,2,2,151,0,0,0.857143,0.6,1,1,74.5,6,3,no-bug
2,3,0,28,23,1,0,28,2,2,163,0,0,0.857143,0.6,1,1,80.5,13,6.5,no-bug
10,5,0,21,55,29,3,18,6,0.9,406,0.5,0,0.757576,0.422222,3,5,38.6,4,1.2,no-bug
2,4,0,21,18,1,0,21,2,2,74,0,0,0.923077,0.625,1,1,36,1,0.5,no-bug
2,3,0,17,12,1,0,17,2,2,76,0,0,0.857143,0.6,1,1,37,2,1,no-bug
4,4,0,4,6,6,0,4,1,2,18,0,0,0.8125,0.5625,2,3,3.5,2,1,no-bug
2,3,0,10,9,1,0,10,2,2,30,0,0,0.857143,0.6,1,1,14,3,1.5,no-bug
5,5,0,15,17,4,0,15,1,0.916667,64,0,0,0.888889,0.666667,2,3,11.2,1,0.6,no-bug
