@relation Version157

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {no-bug,bug}

@data
9,5,0,27,45,32,5,23,2,2,178,0,0,0.931034,0.333333,2,7,18.777778,5,1.3333,bug
3,4,0,1,4,3,0,1,1,2,10,0,0,0.8,1,1,1,2.333333,1,0.6667,no-bug
12,2,0,76,24,54,71,5,12,0.818182,108,1,0,0.5,0.22619,1,1,7.833333,1,0.9167,no-bug
2,1,0,3,2,1,3,0,2,2,2,0,0,0,1,0,0,0,1,1,no-bug
2,1,0,12,2,1,12,0,2,2,2,0,0,0,1,0,0,0,1,1,no-bug
9,3,0,18,49,34,2,17,4,1.053571,322,0.285714,0,0.805556,0.357143,1,3,34,4,2.2222,no-bug
3,1,0,6,11,3,0,6,3,2,27,0,0,0,0.777778,0,0,8,1,0.6667,no-bug
4,1,0,8,4,6,4,4,4,2,4,0,0,0,0.5,0,0,0,1,1,no-bug
2,2,0,6,9,1,0,6,2,2,18,0,0,0.666667,0.75,1,1,8,1,0.5,bug
2,5,0,12,24,1,0,12,1,2,77,0,0,0.992188,0.75,1,6,37.5,6,3,no-bug
4,5,0,5,27,4,0,5,3,0.666667,132,1,0,0.961538,0.555556,2,6,31.75,12,3.25,no-bug
4,5,2,7,20,4,2,5,3,0.666667,83,1,0,0.961538,0.555556,2,6,19.5,8,2.25,no-bug
3,3,0,6,16,1,0,6,1,1,55,1,0,0.928571,0.75,1,1,16.666667,6,2,no-bug
2,4,0,4,11,1,0,4,2,2,37,0,0,0.978723,0.75,1,1,17.5,3,1.5,no-bug
2,6,0,3,10,1,1,2,1,2,28,0,0,0.990476,1,1,1,13,1,0.5,no-bug
2,3,0,17,40,1,0,17,2,2,150,0,0,0.8,0.75,1,1,74,6,3,bug
25,2,0,26,35,208,23,3,25,0.904167,301,1,0,0.314286,0.24,1,1,10.64,4,1.2,bug
2,3,0,16,23,1,0,16,2,2,64,0,0,0.988372,1,1,1,31,4,2,bug
2,2,0,2,3,1,1,1,1,2,7,0,0,0.923077,1,1,2,2.5,1,0.5,no-bug
3,2,0,9,30,1,1,8,2,0.5,177,1,2,0.5,0.444444,1,1,57,8,3.6667,bug
4,3,0,13,20,2,1,12,3,0.666667,87,1,0,0.846154,0.555556,0,0,20,3,1,bug
24,3,0,50,127,256,21,44,6,0.966555,938,0.692308,1,0.629032,0.148148,1,2,37.541667,8,1.5833,no-bug
2,6,0,4,6,0,1,3,2,1,26,1,1,0.998423,0.583333,0,0,11,1,0.5,no-bug
15,1,0,9,15,105,4,5,15,2,15,0,0,0,0.437037,0,0,0,1,1,no-bug
0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,no-bug
2,2,0,5,5,1,0,5,1,2,24,0,0,0.666667,0.75,1,1,11,4,2,no-bug
4,1,0,12,27,6,0,12,4,2,115,0,0,0,0.5625,0,0,27.75,2,1,no-bug
2,3,0,2,6,1,0,2,1,2,19,1,0,0.928571,0.75,1,1,8,1,0.5,no-bug
2,1,0,6,10,1,0,6,2,2,27,0,0,0,0.666667,0,0,12.5,1,0.5,no-bug
