@relation Version454

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {no-bug,bug}

@data
2,1,0,4,14,0,1,3,2,0,78,1,0,0,0.666667,0,0,37.5,3,1.5,no-bug
9,1,0,20,17,16,18,2,9,0.525,112,1,1,0,0.472222,0,0,10.888889,2,0.7778,no-bug
6,2,0,12,9,9,12,0,4,0.857143,91,0.428571,5,0.764706,0.4,1,1,13,1,0.6667,no-bug
15,1,0,14,50,51,0,14,11,0.755102,361,1,6,0,0.221429,0,0,22.6,5,1.5333,no-bug
5,2,0,8,8,6,7,1,3,0.875,79,0.333333,5,0.8125,0.416667,1,1,13.6,1,0.6,no-bug
12,1,0,6,22,42,3,3,12,0.727273,204,1,0,0,0.5,0,0,15.666667,19,2.3333,no-bug
10,1,0,1,14,21,0,1,10,0.740741,109,1,1,0,0.32,1,1,9.6,7,1.5,bug
6,1,0,22,35,3,15,7,2,0.533333,186,1,0,0,0.333333,0,0,29.5,4,1.3333,no-bug
11,1,6,17,43,27,6,11,8,0.78,220,1,1,0,0.283333,0,0,18.545455,4,1.1818,no-bug
13,1,0,3,18,26,3,0,13,0.75,134,1,0,0,0.512821,0,0,8.923077,1,0.8462,no-bug
28,1,0,10,28,378,2,8,28,2,28,0,0,0,0.267857,0,0,0,1,1,no-bug
5,1,0,8,5,10,3,5,5,2,5,0,0,0,0.433333,0,0,0,1,1,no-bug
15,2,0,6,33,51,1,5,12,0.836735,183,1,0,0.391304,0.346667,2,2,10.733333,3,1.3333,no-bug
4,1,0,11,20,4,4,7,2,0.666667,111,1,0,0,0.5,0,0,26.5,3,1.25,no-bug
4,1,0,8,21,0,1,7,2,1,168,1,1,0,0.4,0,0,39,3,1.5,no-bug
6,1,0,2,7,3,2,0,5,0.8,35,1,0,0,0.555556,0,0,4.333333,1,0.6667,no-bug
4,2,0,3,8,6,0,3,4,2,22,0,0,0.4,1,0,0,4.5,1,0.75,no-bug
11,1,0,13,33,13,0,13,4,1,226,1,1,0,0.425,0,0,18.636364,1,0.8182,no-bug
6,2,0,18,41,7,1,17,2,0.666667,216,1,0,0.791667,0.366667,1,3,34.5,5,2.3333,no-bug
12,1,0,5,34,36,4,1,7,0.727273,342,1,0,0,0.464286,0,0,27.166667,4,1.8333,no-bug
40,1,0,37,143,484,0,37,37,0.891738,814,1,8,0,0.115385,0,0,19.125,6,1.45,no-bug
7,2,0,11,17,21,4,11,7,2,80,0,0,0.25,0.309524,0,0,10.428571,1,0.8571,no-bug
