@relation 'camel-1.2-weka.filters.unsupervised.attribute.Remove-R7-10,12-20'

@attribute $wmc numeric
@attribute $dit numeric
@attribute $noc numeric
@attribute $cbo numeric
@attribute $rfc numeric
@attribute $lcom numeric
@attribute $loc numeric
@attribute $<bug {no-bug,bug}

@data
9,0,0,5,24,0,213,no-bug
27,1,0,6,27,351,27,bug
9,1,0,3,18,30,82,no-bug
7,1,0,27,50,7,198,no-bug
8,2,0,10,28,0,224,bug
4,1,0,9,12,2,52,no-bug
4,0,0,10,17,2,71,no-bug
2,1,0,2,5,1,22,bug
18,1,0,116,18,153,18,no-bug
9,1,0,3,20,12,100,no-bug
7,2,0,3,17,0,66,no-bug
7,2,0,11,11,15,44,bug
13,2,0,12,37,42,175,bug
6,4,0,9,31,5,143,no-bug
20,2,1,16,74,68,537,bug
2,4,6,8,7,0,23,bug
6,3,0,8,15,15,42,bug
14,2,0,4,25,31,140,bug
2,5,0,2,6,0,22,no-bug
7,2,0,7,25,0,153,bug
3,2,0,4,10,3,32,bug
19,2,0,22,32,133,174,no-bug
20,1,0,2,21,190,50,no-bug
8,1,0,7,32,28,237,bug
5,1,3,4,6,6,24,no-bug
6,2,0,5,16,7,59,no-bug
3,2,0,1,5,3,12,no-bug
19,1,15,32,38,139,216,bug
0,1,0,1,0,0,0,no-bug
19,1,1,7,35,137,183,no-bug
6,1,0,6,7,15,14,bug
3,1,0,4,6,0,33,bug
0,1,0,1,0,0,0,no-bug
2,1,0,3,5,1,17,no-bug
14,1,0,6,18,61,81,no-bug
20,1,2,101,54,168,352,no-bug
18,1,0,9,44,85,242,bug
4,4,15,49,8,6,21,bug
6,1,0,4,10,1,50,no-bug
2,1,0,2,19,1,121,bug
9,2,0,4,16,0,122,no-bug
9,2,0,11,14,26,57,bug
5,1,0,6,10,2,44,no-bug
3,2,0,5,4,3,10,bug
3,1,0,4,3,3,3,no-bug
11,3,0,6,22,41,99,no-bug
10,4,0,4,19,7,120,no-bug
3,2,0,1,5,3,12,no-bug
6,4,0,6,17,0,85,no-bug
12,2,0,7,16,46,83,no-bug
9,2,0,40,23,32,240,bug
1,0,0,5,4,0,9,no-bug
22,1,0,2,42,189,182,bug
4,1,2,4,8,0,28,bug
1,1,0,0,2,0,22,no-bug
22,3,0,20,65,151,401,bug
3,1,0,2,15,3,63,no-bug
7,2,0,6,17,9,75,bug
7,3,0,7,13,0,41,no-bug
5,1,0,5,5,10,5,bug
2,5,0,2,7,0,25,no-bug
37,3,0,21,61,598,335,bug
3,1,0,4,5,3,18,no-bug
7,2,17,22,11,1,33,no-bug
28,2,0,14,58,302,303,bug
6,3,0,6,19,13,107,no-bug
14,1,1,7,26,79,118,bug
14,1,0,4,21,91,105,bug
4,1,1,1,9,0,27,no-bug
9,2,0,5,18,28,103,no-bug
1,1,0,3,1,0,1,no-bug
8,2,0,7,23,14,101,bug
9,0,0,19,59,16,382,no-bug
15,1,1,13,35,59,189,no-bug
0,1,0,1,0,0,0,no-bug
1,2,0,1,2,0,6,no-bug
3,1,0,5,6,1,31,no-bug
5,3,0,4,10,10,25,no-bug
15,1,0,22,47,81,218,no-bug
13,1,0,4,23,0,70,no-bug
3,5,0,1,9,0,33,bug
8,2,0,7,33,26,417,no-bug
11,3,0,8,30,37,212,bug
7,1,0,11,38,21,167,no-bug
0,1,0,0,0,0,0,no-bug
15,3,4,10,30,79,146,no-bug
5,2,0,12,17,6,88,no-bug
7,3,0,8,18,21,66,no-bug
1,1,0,3,1,0,1,bug
2,1,0,5,2,1,2,bug
16,1,0,8,28,74,154,bug
4,3,0,9,11,6,25,bug
13,3,0,8,25,26,161,bug
4,0,0,10,18,2,75,no-bug
1,2,0,5,2,0,6,no-bug
1,1,0,0,1,0,1,no-bug
1,1,0,5,1,0,1,no-bug
15,2,0,18,28,101,118,no-bug
6,1,0,9,18,15,102,bug
16,1,0,6,47,112,301,bug
32,1,0,3,67,484,651,no-bug
