@relation 'camel-1.6-weka.filters.unsupervised.attribute.Remove-R7-10,12-20'

@attribute $wmc numeric
@attribute $dit numeric
@attribute $noc numeric
@attribute $cbo numeric
@attribute $rfc numeric
@attribute $lcom numeric
@attribute $loc numeric
@attribute $<bug {no-bug,bug}

@data
5,3,0,7,10,0,43,no-bug
4,1,0,3,5,4,17,no-bug
20,4,0,26,95,144,433,no-bug
3,2,0,8,22,3,165,bug
8,1,0,25,20,22,176,bug
3,1,0,6,3,3,3,no-bug
1,1,0,0,2,0,9,no-bug
6,1,0,9,17,15,46,bug
0,1,0,0,0,0,0,no-bug
4,1,0,7,8,6,22,no-bug
10,1,0,11,20,45,52,bug
10,3,0,10,33,25,165,no-bug
23,2,0,13,49,201,266,no-bug
8,4,0,18,33,22,141,no-bug
9,3,0,3,15,6,82,bug
3,1,2,8,16,3,96,no-bug
10,4,0,6,27,5,168,bug
8,2,0,7,33,26,415,no-bug
4,1,0,17,8,6,53,no-bug
2,1,0,3,5,1,17,no-bug
14,1,0,6,18,61,81,no-bug
16,1,0,8,36,62,184,no-bug
4,4,17,66,8,6,21,no-bug
6,1,0,4,10,1,50,no-bug
3,1,0,3,20,3,127,no-bug
11,2,0,11,17,25,73,bug
2,1,0,2,2,1,2,no-bug
3,3,0,2,4,1,15,bug
3,2,0,6,4,3,10,bug
5,1,0,6,15,10,60,no-bug
33,1,0,17,33,528,33,bug
3,1,0,5,3,3,3,no-bug
7,1,0,32,61,0,204,no-bug
8,2,0,13,33,0,294,bug
3,1,0,5,7,3,19,no-bug
11,3,0,14,63,7,416,no-bug
2,4,0,5,7,1,24,bug
1,1,0,9,1,0,1,no-bug
4,1,0,4,10,0,39,bug
12,3,13,22,24,30,114,no-bug
14,3,0,21,43,59,208,no-bug
4,4,8,13,10,0,39,bug
3,4,0,8,15,3,49,no-bug
1,1,0,7,1,0,1,no-bug
2,1,1,3,10,0,44,no-bug
6,0,0,21,54,9,309,no-bug
1,1,0,2,3,0,7,no-bug
7,2,0,8,8,15,45,no-bug
3,1,0,9,18,0,61,no-bug
15,1,1,15,29,45,171,no-bug
1,1,0,0,1,0,1,no-bug
5,3,0,9,9,4,36,no-bug
4,1,0,7,17,6,39,no-bug
5,3,0,10,18,8,62,no-bug
3,1,0,6,8,3,31,no-bug
14,4,0,11,37,73,236,no-bug
27,2,6,26,61,105,265,bug
7,2,2,7,10,15,44,no-bug
3,3,0,8,9,0,44,no-bug
4,3,0,1,6,0,21,no-bug
50,1,0,8,84,1011,726,no-bug
1,1,0,14,1,0,1,bug
3,1,0,4,9,1,47,no-bug
6,4,0,5,10,15,43,no-bug
3,2,0,1,5,3,12,no-bug
1,1,0,7,1,0,1,no-bug
20,1,0,20,98,178,880,no-bug
2,1,0,6,7,1,21,no-bug
2,5,0,4,7,0,25,bug
2,1,0,38,2,1,2,no-bug
4,1,0,4,11,0,67,no-bug
4,1,0,6,4,6,5,no-bug
2,1,0,4,4,1,8,no-bug
2,5,1,9,9,1,26,no-bug
21,2,1,15,52,142,292,no-bug
2,3,0,7,6,1,19,no-bug
2,1,0,4,4,1,9,no-bug
8,1,0,7,15,22,100,no-bug
3,3,0,10,25,0,136,no-bug
4,2,0,7,6,0,30,no-bug
6,2,0,4,15,7,71,no-bug
7,1,2,7,23,21,133,no-bug
1,1,0,0,1,0,1,no-bug
3,1,0,10,22,1,141,no-bug
5,3,0,5,7,0,34,bug
16,1,1,11,43,112,275,bug
1,1,0,0,2,0,12,no-bug
1,1,0,16,1,0,1,no-bug
26,3,0,14,61,235,303,no-bug
3,2,0,1,5,3,12,no-bug
6,3,0,16,31,7,108,no-bug
10,4,0,7,17,13,82,no-bug
0,1,0,0,0,0,0,no-bug
9,5,3,12,25,0,202,no-bug
5,3,4,11,11,10,33,bug
18,1,0,3,27,97,165,no-bug
6,3,0,7,34,15,138,no-bug
6,2,0,2,9,9,41,no-bug
2,0,0,5,10,1,58,no-bug
10,1,2,9,18,9,86,no-bug
3,3,0,12,17,3,67,no-bug
6,1,0,4,10,0,46,no-bug
3,3,0,2,4,1,15,no-bug
9,1,0,7,9,36,9,no-bug
120,1,0,38,200,6646,1370,no-bug
11,3,0,4,15,35,62,no-bug
20,2,0,8,30,144,148,no-bug
15,2,0,8,17,99,89,no-bug
5,3,0,6,9,8,36,no-bug
4,1,0,6,7,4,22,no-bug
4,2,0,3,7,4,111,no-bug
10,2,0,73,24,41,259,no-bug
29,1,0,18,57,314,201,no-bug
4,0,1,7,7,4,24,no-bug
53,2,1,24,87,1296,614,bug
6,2,2,6,12,0,38,no-bug
5,3,0,4,10,8,36,no-bug
9,1,7,11,17,24,125,no-bug
3,5,0,4,10,0,34,bug
3,1,0,6,6,3,23,no-bug
11,1,2,10,28,49,118,no-bug
2,3,0,4,4,1,9,bug
5,3,0,9,21,0,106,bug
3,1,0,2,15,3,63,no-bug
2,1,0,9,2,1,2,no-bug
7,3,0,8,13,0,41,bug
1,1,0,7,1,0,1,no-bug
20,1,0,16,20,190,20,no-bug
1,1,0,2,3,0,7,no-bug
7,1,0,11,14,11,66,no-bug
8,2,27,32,16,0,47,no-bug
12,1,0,20,24,66,74,bug
4,1,0,8,4,6,4,no-bug
16,1,1,8,31,112,150,bug
5,1,0,7,17,2,68,no-bug
27,3,0,32,60,245,345,no-bug
10,1,0,11,18,21,97,no-bug
39,2,0,24,76,641,453,no-bug
7,0,2,11,31,21,163,no-bug
19,1,1,15,47,81,474,bug
16,2,0,14,33,102,144,no-bug
2,2,0,3,7,1,29,no-bug
4,2,0,5,7,4,45,no-bug
0,1,0,0,0,0,0,no-bug
4,0,2,10,20,6,85,no-bug
8,3,0,15,36,0,135,no-bug
18,3,0,4,35,111,200,no-bug
0,1,0,0,0,0,0,no-bug
21,2,0,14,25,198,119,no-bug
4,1,0,0,14,6,79,no-bug
2,3,0,4,4,1,11,no-bug
15,3,0,15,38,37,217,bug
3,3,0,3,5,3,25,no-bug
26,1,1,9,47,0,236,bug
2,1,0,5,11,0,39,bug
0,1,0,0,0,0,19,no-bug
3,1,0,3,21,1,88,bug
13,2,4,14,33,34,187,bug
2,1,0,40,2,1,2,bug
6,3,0,7,13,3,46,no-bug
6,2,0,7,5,9,36,no-bug
17,2,0,25,53,104,305,bug
3,3,0,6,7,0,29,bug
22,1,0,182,22,231,22,bug
6,2,0,9,19,15,90,no-bug
2,1,0,3,3,0,12,no-bug
1,2,0,2,4,0,14,no-bug
15,3,0,14,35,57,195,no-bug
8,5,0,13,11,24,49,no-bug
12,3,0,25,71,22,391,no-bug
4,1,0,6,14,0,90,no-bug
16,4,0,17,29,72,150,no-bug
6,1,1,3,14,3,55,bug
9,1,0,16,50,24,239,no-bug
1,4,1,5,2,0,11,no-bug
4,3,0,24,27,4,156,no-bug
14,3,1,20,32,55,188,no-bug
7,2,0,11,21,17,90,no-bug
2,1,0,12,15,0,70,bug
14,1,0,4,33,39,231,no-bug
5,6,0,14,26,10,77,no-bug
3,1,0,5,13,3,58,no-bug
2,3,0,3,5,1,17,no-bug
2,1,0,2,3,1,7,no-bug
9,4,0,11,60,0,407,no-bug
2,4,1,9,3,1,5,no-bug
10,1,0,10,28,0,136,no-bug
3,2,0,6,8,3,60,no-bug
2,3,0,6,11,1,39,no-bug
6,2,2,14,21,5,96,bug
20,2,0,10,24,178,114,no-bug
2,2,0,3,8,1,40,no-bug
10,1,0,7,24,29,110,bug
15,3,0,6,32,61,168,no-bug
10,1,0,11,10,45,10,no-bug
6,4,0,6,12,15,45,no-bug
4,1,0,6,4,6,4,no-bug
4,3,0,8,38,0,201,no-bug
3,3,0,8,12,3,39,no-bug
5,3,0,4,10,10,31,no-bug
4,1,0,1,12,0,52,no-bug
4,1,0,4,8,6,19,no-bug
7,1,0,28,33,17,180,no-bug
11,3,3,9,30,37,127,bug
28,1,0,8,44,300,248,no-bug
18,2,2,20,64,93,377,bug
7,2,0,2,9,7,39,no-bug
75,2,1,56,171,2573,1510,bug
5,2,0,9,10,10,30,no-bug
48,2,1,45,124,992,824,no-bug
8,1,0,8,32,16,159,no-bug
7,3,0,12,35,15,156,bug
5,3,0,17,61,8,295,no-bug
3,5,0,3,6,3,17,no-bug
3,4,0,2,9,0,34,no-bug
5,3,0,9,16,8,84,no-bug
9,0,0,5,24,0,213,no-bug
10,2,0,15,29,11,181,bug
16,0,0,17,35,102,189,no-bug
6,1,0,3,6,15,6,no-bug
2,4,0,3,4,1,12,no-bug
13,3,0,9,37,26,226,bug
38,2,0,21,68,627,326,bug
14,3,0,11,32,71,171,no-bug
13,2,0,13,44,54,222,bug
4,3,0,3,22,0,86,no-bug
4,0,0,10,17,2,71,no-bug
6,1,4,5,7,9,23,no-bug
8,2,0,12,15,22,60,no-bug
8,0,2,16,43,28,208,no-bug
5,1,0,10,27,0,112,no-bug
4,1,0,9,13,6,54,no-bug
5,2,1,5,8,8,29,no-bug
3,2,0,1,5,3,12,no-bug
7,2,0,9,8,15,44,no-bug
3,2,0,8,7,3,17,no-bug
2,1,0,1,2,1,2,no-bug
4,1,0,7,17,0,74,no-bug
26,2,0,17,54,289,279,no-bug
4,0,0,10,18,4,81,no-bug
9,2,0,10,10,30,58,no-bug
3,1,0,4,12,3,60,no-bug
1,4,3,4,2,0,7,no-bug
