@relation 'camel-1.4-weka.filters.unsupervised.attribute.Remove-R7-10,12-20'

@attribute $wmc numeric
@attribute $dit numeric
@attribute $noc numeric
@attribute $cbo numeric
@attribute $rfc numeric
@attribute $lcom numeric
@attribute $loc numeric
@attribute $<bug {no-bug,bug}

@data
8,2,0,8,31,28,394,bug
5,0,0,9,17,10,97,no-bug
1,1,0,0,1,0,1,no-bug
13,3,0,41,73,50,344,no-bug
7,2,0,6,13,17,46,no-bug
6,1,6,11,14,15,52,no-bug
10,4,0,11,25,45,101,no-bug
18,1,0,29,59,119,350,no-bug
31,1,0,10,49,379,328,bug
5,1,0,12,26,2,154,no-bug
6,2,0,15,25,5,88,bug
1,2,0,1,2,0,7,no-bug
2,3,0,8,11,0,37,no-bug
9,4,0,14,40,22,244,no-bug
2,1,0,3,4,1,10,no-bug
4,2,0,4,7,4,56,no-bug
9,0,0,5,24,0,213,no-bug
14,0,0,16,32,69,165,no-bug
2,4,0,3,4,1,12,no-bug
4,1,0,9,12,2,52,no-bug
18,1,0,5,49,87,317,no-bug
5,1,0,2,7,4,25,no-bug
2,1,0,6,6,0,31,no-bug
0,1,0,2,0,0,0,no-bug
3,2,0,4,7,0,27,no-bug
7,4,0,9,16,21,45,bug
5,3,0,8,17,0,82,no-bug
3,4,0,8,15,3,52,no-bug
7,2,0,7,26,0,152,no-bug
3,3,0,7,10,3,32,no-bug
11,4,0,8,23,51,96,bug
2,1,0,6,10,0,46,no-bug
4,1,0,2,5,0,21,no-bug
6,1,0,16,52,9,297,no-bug
9,3,0,9,20,26,81,no-bug
3,1,0,5,9,1,28,bug
2,5,0,3,7,0,21,no-bug
2,1,0,5,11,0,39,no-bug
3,1,0,3,21,1,88,no-bug
23,1,0,22,40,247,118,no-bug
3,3,0,6,7,0,29,no-bug
10,1,0,9,20,41,96,no-bug
5,3,0,14,29,0,129,no-bug
2,5,0,2,5,1,15,no-bug
3,1,0,5,12,0,54,no-bug
27,1,0,12,71,349,292,bug
21,4,0,19,52,160,287,no-bug
5,1,0,4,11,0,43,no-bug
3,2,0,1,5,3,12,no-bug
19,1,0,72,19,171,19,bug
6,3,0,8,37,3,150,no-bug
10,1,0,8,17,25,86,no-bug
17,3,1,37,45,112,230,no-bug
5,1,0,16,8,6,31,no-bug
10,4,0,4,19,7,120,bug
3,2,0,13,17,3,70,no-bug
13,2,0,18,42,26,183,no-bug
12,2,0,7,16,46,83,no-bug
4,1,0,4,13,4,39,no-bug
2,1,0,5,2,1,2,no-bug
7,3,0,4,12,13,55,bug
2,4,0,20,32,0,202,no-bug
1,1,0,0,2,0,23,no-bug
5,2,0,14,9,0,41,no-bug
9,1,0,9,31,22,140,no-bug
4,1,3,3,11,0,31,no-bug
6,2,0,11,10,9,48,no-bug
45,3,0,22,81,814,555,bug
3,1,0,4,5,3,18,no-bug
9,4,0,9,23,0,94,bug
5,1,0,16,7,4,30,no-bug
5,1,0,4,10,10,28,no-bug
3,1,0,5,11,0,53,no-bug
1,1,0,3,1,0,1,no-bug
8,2,0,8,25,14,105,bug
5,3,0,18,47,2,172,no-bug
3,1,0,7,13,0,72,no-bug
1,1,0,0,1,0,1,no-bug
28,2,0,25,74,362,323,no-bug
8,1,0,15,54,0,378,no-bug
2,5,0,3,7,0,25,no-bug
2,3,1,4,4,1,11,no-bug
17,1,0,21,34,136,138,no-bug
3,1,0,4,5,3,20,no-bug
15,2,0,20,21,89,123,no-bug
19,1,1,7,35,137,183,bug
3,3,0,5,7,0,24,no-bug
4,6,0,3,9,0,45,no-bug
1,1,0,5,1,0,1,no-bug
22,4,0,14,66,151,603,bug
1,1,0,6,1,0,1,no-bug
3,3,0,2,4,1,15,no-bug
5,1,0,1,6,6,24,no-bug
15,1,0,22,47,81,218,no-bug
4,5,0,2,11,0,52,no-bug
7,1,2,4,8,11,37,no-bug
0,1,0,1,0,0,0,no-bug
2,2,0,5,10,0,42,no-bug
2,1,0,3,3,1,6,no-bug
14,2,1,6,22,27,176,no-bug
1,1,0,6,1,0,1,no-bug
10,2,0,11,24,1,126,no-bug
7,3,0,14,27,13,95,no-bug
4,3,0,1,5,4,16,no-bug
24,2,36,53,61,256,301,bug
2,1,0,2,5,1,16,no-bug
3,4,0,3,5,3,12,no-bug
2,1,0,2,2,1,2,no-bug
1,1,0,5,1,0,1,no-bug
3,3,0,4,6,3,16,no-bug
17,0,0,25,46,102,229,no-bug
9,1,0,1,14,4,59,no-bug
10,1,3,12,29,21,151,bug
5,1,0,0,7,0,32,no-bug
2,1,0,1,7,1,26,no-bug
6,6,0,3,16,7,80,no-bug
6,2,0,5,16,7,59,no-bug
3,1,0,0,13,3,57,no-bug
30,1,0,41,61,435,193,bug
1,1,0,5,1,0,1,no-bug
15,1,1,7,25,75,139,no-bug
6,2,0,11,27,0,115,bug
8,1,0,5,12,24,68,no-bug
9,1,0,9,28,12,224,no-bug
4,2,0,11,7,0,34,no-bug
3,3,0,6,8,3,22,no-bug
13,3,0,34,77,46,672,no-bug
2,1,0,18,2,1,2,no-bug
6,1,0,3,14,13,57,no-bug
2,0,0,3,5,1,12,no-bug
13,1,3,4,26,58,112,bug
7,3,0,6,12,9,52,no-bug
2,1,0,2,2,1,2,no-bug
49,1,0,20,93,1044,620,no-bug
6,3,0,5,11,7,46,no-bug
38,1,0,109,111,697,923,bug
7,3,0,10,14,1,45,no-bug
19,3,0,16,26,157,111,no-bug
57,1,0,14,94,1484,738,no-bug
17,1,0,8,32,82,162,bug
14,4,0,10,27,33,167,bug
4,0,0,10,17,2,71,no-bug
1,1,0,0,1,0,1,no-bug
12,1,0,7,22,60,63,no-bug
2,1,0,6,8,1,23,no-bug
10,3,0,8,46,11,334,no-bug
17,2,0,2,18,120,84,no-bug
2,2,0,3,4,1,11,no-bug
8,1,1,31,42,14,207,no-bug
1,1,0,6,1,0,1,no-bug
1,1,0,0,1,0,1,no-bug
