@relation 'ant-1.7-weka.filters.unsupervised.attribute.Remove-R7-10,12-20'

@attribute $wmc numeric
@attribute $dit numeric
@attribute $noc numeric
@attribute $cbo numeric
@attribute $rfc numeric
@attribute $lcom numeric
@attribute $loc numeric
@attribute $<bug {no-bug,bug}

@data
3,1,0,10,18,3,106,no-bug
5,2,0,4,13,0,76,no-bug
1,2,0,1,3,0,7,no-bug
8,1,9,13,20,12,101,no-bug
9,3,0,5,26,16,185,bug
3,2,5,7,4,1,16,no-bug
20,1,0,4,40,130,345,bug
13,1,0,7,28,20,183,no-bug
9,1,0,5,19,8,119,no-bug
7,5,0,9,25,0,255,no-bug
9,6,0,5,17,26,71,no-bug
3,2,0,19,10,3,38,no-bug
1,1,0,10,1,0,1,no-bug
9,1,0,3,12,20,54,no-bug
19,4,0,7,40,129,252,no-bug
10,4,2,13,26,0,110,no-bug
3,2,0,2,5,0,34,no-bug
20,1,0,7,79,136,835,no-bug
6,1,0,8,6,15,6,no-bug
3,4,0,5,11,1,41,bug
5,2,0,7,14,6,70,no-bug
1,1,0,1,1,0,1,no-bug
11,2,0,7,26,0,181,no-bug
3,4,0,5,15,3,51,no-bug
3,2,0,5,7,1,29,no-bug
16,3,0,15,65,76,483,bug
4,4,8,12,5,0,18,no-bug
15,1,0,11,65,75,443,no-bug
11,3,0,3,24,17,309,no-bug
2,3,0,1,3,1,7,no-bug
15,3,0,9,41,0,204,no-bug
14,4,3,11,29,85,108,no-bug
27,3,0,8,101,157,1286,bug
5,4,0,8,23,4,249,no-bug
3,1,0,2,3,3,4,no-bug
4,5,0,5,19,6,57,no-bug
6,1,0,2,11,3,53,no-bug
55,3,8,20,106,1313,1133,no-bug
3,2,0,4,19,3,136,no-bug
8,1,0,4,22,0,169,no-bug
11,2,0,1,23,39,136,no-bug
10,1,0,10,29,43,91,no-bug
1,3,0,1,2,0,4,no-bug
3,2,1,12,22,3,72,no-bug
9,1,0,32,36,36,281,no-bug
7,1,0,24,8,3,43,no-bug
9,1,1,4,19,30,130,no-bug
63,1,2,61,144,1603,2303,bug
6,3,2,20,13,7,56,no-bug
2,1,0,6,2,1,2,no-bug
22,3,0,5,47,159,365,no-bug
17,5,0,9,34,118,137,bug
12,3,0,15,99,18,804,bug
10,2,0,3,30,27,245,no-bug
2,3,0,9,20,1,128,bug
43,3,1,25,120,451,920,bug
22,2,28,37,44,183,271,no-bug
34,5,2,15,67,295,586,bug
2,3,0,3,4,1,19,no-bug
3,1,0,3,6,3,16,no-bug
4,3,0,3,16,2,76,no-bug
11,3,0,8,26,0,76,no-bug
4,1,0,7,20,4,187,bug
56,2,2,51,169,1200,1842,bug
5,5,0,8,16,0,105,no-bug
5,1,0,3,41,10,241,no-bug
7,1,0,3,26,0,218,no-bug
17,5,0,6,35,130,207,bug
4,1,0,6,33,0,157,no-bug
5,3,0,6,26,0,141,no-bug
9,4,0,11,54,10,345,bug
3,2,0,1,10,0,67,no-bug
6,1,0,3,10,0,52,no-bug
4,5,0,7,15,0,77,no-bug
4,1,0,2,6,0,19,no-bug
9,1,1,4,32,34,145,no-bug
8,5,0,11,31,0,329,no-bug
15,4,0,14,83,47,566,no-bug
1,1,0,3,1,0,1,no-bug
17,1,0,8,67,90,878,no-bug
24,4,2,7,50,270,250,no-bug
4,1,0,8,20,0,106,no-bug
27,2,0,11,53,229,405,bug
10,3,0,8,32,15,166,no-bug
1,1,0,4,1,0,1,no-bug
10,4,0,15,36,3,249,no-bug
11,4,3,12,41,19,240,no-bug
12,1,0,3,22,44,156,no-bug
12,3,0,14,58,0,303,bug
2,3,0,3,8,1,33,no-bug
15,3,0,10,77,41,725,bug
7,3,0,4,38,0,258,no-bug
4,1,0,6,4,6,4,no-bug
4,4,0,5,8,4,42,no-bug
