@relation 'ant-1.5-weka.filters.unsupervised.attribute.Remove-R7-10,12-20'

@attribute $wmc numeric
@attribute $dit numeric
@attribute $noc numeric
@attribute $cbo numeric
@attribute $rfc numeric
@attribute $lcom numeric
@attribute $loc numeric
@attribute $<bug {no-bug,bug}

@data
9,6,0,9,34,28,166,bug
8,4,0,7,37,4,277,no-bug
4,3,0,8,39,0,200,no-bug
15,3,0,16,77,69,504,no-bug
15,3,0,3,37,41,437,no-bug
1,1,0,5,1,0,1,no-bug
18,3,0,10,56,119,460,no-bug
2,3,0,3,7,1,23,no-bug
4,1,0,5,4,6,4,no-bug
16,4,2,19,56,48,757,no-bug
7,3,0,7,21,0,144,no-bug
5,1,0,11,5,10,5,no-bug
3,3,0,6,21,0,146,no-bug
1,1,0,9,1,0,1,no-bug
7,5,0,5,17,0,107,no-bug
3,1,1,7,9,0,47,no-bug
6,4,0,10,33,0,511,no-bug
10,4,0,16,36,3,246,no-bug
20,3,0,14,67,130,812,no-bug
1,1,0,15,1,0,1,no-bug
28,3,0,44,96,286,1047,no-bug
8,5,0,6,26,0,164,no-bug
4,3,0,6,16,0,46,no-bug
6,1,0,1,8,0,43,no-bug
3,2,0,9,26,3,147,no-bug
8,5,0,9,23,0,198,no-bug
4,2,0,4,15,0,109,bug
3,4,0,4,20,3,124,no-bug
18,4,0,12,82,83,1238,bug
3,1,0,3,3,3,3,no-bug
2,3,0,0,3,1,7,no-bug
3,1,0,3,17,0,196,no-bug
15,3,2,10,47,73,452,no-bug
1,1,0,8,1,0,1,no-bug
3,4,0,5,24,3,163,no-bug
13,1,1,15,66,78,476,no-bug
4,1,0,6,21,6,91,no-bug
27,1,0,10,60,145,401,no-bug
7,5,0,5,19,1,285,no-bug
1,1,0,2,1,0,1,no-bug
5,2,0,5,37,4,250,no-bug
12,3,0,11,64,0,581,no-bug
11,2,0,12,15,13,97,no-bug
21,5,2,15,83,142,799,no-bug
21,4,0,11,56,24,715,no-bug
3,4,0,8,22,0,104,no-bug
6,3,0,9,32,0,216,no-bug
20,1,0,4,42,130,376,no-bug
