wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
3,1,0,4,11,3,1,3,2,1,73,0,0,0,0.333333333,0,0,22.33333333,3,1.6667,no-bug
13,1,22,62,96,74,22,40,2,0.958333333,514,0.75,1,0,0.333333333,0,0,38.23076923,13,3.3077,no-bug
2,1,0,2,5,1,1,1,2,2,36,0,0,0,0.75,0,0,17,6,3,no-bug
5,1,0,148,5,10,144,4,5,2,5,0,0,0,1,0,0,0,1,1,no-bug
18,2,0,53,146,117,1,53,3,0.966911765,1190,0.625,0,0.448275862,0.264705882,1,8,64.22222222,35,5.1667,bug
1,6,0,1,2,0,0,1,1,2,4,0,0,1,1,0,0,3,0,0,bug
17,1,3,22,54,64,9,16,7,0.6625,348,0.8,1,0,0.223214286,0,0,19.17647059,4,1.7059,no-bug
11,1,0,15,49,55,1,14,8,2,295,0,0,0,0.5,0,0,25.81818182,3,2.3636,no-bug
2,3,0,7,10,1,1,7,2,2,33,1,0,0.988372093,0.666666667,1,1,15,2,1,no-bug
2,5,0,4,4,1,1,3,1,2,9,0,0,0.99,1,1,1,3.5,1,0.5,no-bug
2,3,0,9,17,1,0,9,2,1,61,0,0,0.8,0.75,1,1,29,5,2.5,no-bug
3,1,0,9,22,3,0,9,3,1,76,0,0,0,0.777777778,0,0,24,2,1,no-bug
18,3,0,12,46,89,1,11,14,0.840336134,352,0.428571429,0,0.847619048,0.201388889,3,17,18.16666667,7,2.2222,no-bug
15,1,0,29,92,89,1,28,2,0.819548872,913,0.736842105,1,0,0.2,0,0,58.6,15,3.4667,no-bug
7,2,1,23,42,21,5,21,1,2,319,0,0,0.666666667,0.380952381,2,3,44.57142857,15,3.2857,no-bug
2,2,0,2,3,1,1,1,1,2,7,0,0,0.909090909,1,1,2,2.5,1,0.5,no-bug
6,2,0,20,38,15,4,20,1,2,270,0,0,0.705882353,0.5,2,4,44,15,3.5,no-bug
3,1,0,4,11,3,1,3,2,1,52,0,0,0,0.333333333,0,0,15.66666667,2,1.3333,no-bug
2,1,0,6,10,0,1,5,2,0.5,36,0.5,1,0,0.625,0,0,16,2,1,no-bug
9,2,0,12,69,36,1,11,3,1.125,402,0.4,0,0.789473684,0.37037037,1,3,43.11111111,17,3.8889,no-bug
2,1,0,3,10,1,0,3,2,2,31,0,0,0,0.666666667,0,0,14.5,3,1.5,no-bug
0,1,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,no-bug
7,3,0,9,20,0,0,9,7,0.611111111,103,0.666666667,1,0.866666667,0.285714286,2,6,13.28571429,3,1.5714,no-bug
2,1,18,25,7,1,19,6,2,1,126,0.5,3,0,0.75,0,0,57,7,3.5,no-bug
8,2,0,2,23,0,1,1,7,0.142857143,193,1,0,0.461538462,0.45,1,1,23,6,2.75,no-bug
5,1,0,6,22,2,2,5,1,0.833333333,96,1,0,0,0.35,0,0,17.6,3,1.2,no-bug
2,2,0,2,3,1,1,1,1,2,7,0,0,0.909090909,1,1,2,2.5,1,0.5,no-bug
0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,no-bug
6,1,0,19,31,3,4,15,3,0.4,304,1,0,0,0.333333333,0,0,49.5,12,3.3333,no-bug
4,2,0,4,8,6,1,3,1,2,25,0,0,0.8,0.625,1,2,5.25,2,1,no-bug
6,1,0,58,6,15,55,3,6,2,6,0,0,0,0.611111111,0,0,0,1,1,no-bug
1,1,0,5,1,0,2,3,1,2,1,0,0,0,1,0,0,0,1,1,no-bug
3,3,0,16,30,0,2,14,3,0.5,119,0.666666667,0,0.846153846,0.555555556,0,0,37.66666667,2,1,no-bug
8,3,0,11,28,28,1,10,1,0.857142857,158,1,2,0.847826087,1,1,1,18.5,7,1.625,bug
5,1,0,2,14,10,1,2,5,2,59,0,0,0,0.7,0,0,10.8,3,2.2,no-bug
7,5,0,5,8,21,4,1,6,1.166666667,76,1,0,0.8,0.5,0,0,9.714285714,1,0.8571,no-bug
9,3,0,9,30,22,2,7,9,0.9,148,0.6,0,0.826086957,0.333333333,2,3,14.88888889,6,1.8889,no-bug
2,5,0,4,5,1,0,4,1,2,15,0,0,0.990566038,0.75,2,2,6.5,1,0.5,no-bug
